Sentimen;Text
Positif;Bener bgt kata mbak ini Keberhasilan Diet itu tergantung cara pandang dan pola pikir kita untuk Mencintai Diri kita Sendiri Saat kita Sadarberapa pentingnya diri kita
Positif;Alhamdulillah akhirnya membuahkaan hasil usaha kerasnya 
Positif;Kalau akuuuu Alhamdulillahkata orang orang yang liat badan aku
Negatif;Kemarin abis lebaran karena banyak nyemil juga berat badan aku naik sampe 59 kilo
Negatif;Diet juga selalu berhasil tp sya selalu gagal memperthnkan berat badan aq
Positif;Diet aku udh jalan kurAng lebih 10hari  Alhamdulillah dari 77kg sekian
Negatif;TB ku 163cmpas berat badanku naik jd 59KG aku sdh kebingungansoalnya biasanya BB ku 45kg48kgternyata habis sakit itu mlh bikin gemuk
Negatif;Konsisten ny lah yg susah 
Negatif;Apakah mengkonsumsi obat itu pengaruh pada berat badan Soal nya aku ko merasa berat badan ga turun2 ya padahal makan jarang ngemil apalagi
Positif;Setelah 7 bulan diet gua bisa buktiin ke orang orang bahwa gua bisa kurus yang darinya 86 sekarang 54 gua ber syukur banget
Positif;Memang diet itu harus nekad dan ikhlas hatiiii spy berhasil 
Positif;Bismillah mulai diet awal tahun 2023
Positif;Diet sebenarnya mudah atur pola mkn aj dn yg penting konsisten in syaa Alloh cpt turun dn berhasil
Positif;Setelah melahirkan bb ku stuck di 70 kg pengen jadi 55 semoga bisa 
Negatif;Dulu pas habis lebaran pernah bbku mencapai 59kg beneran keliatan gendut banget
Negatif;Kak aku 70 aja udah gendut amat Tinggiku 159 udah obesitas kata dokter ku Oh tuhan
Positif;Sama kyak aq tinggi 159 berat 72 Skrg lg depisit kalori alhmdllh dlm 5 hari turun 1kg
Positif;BB ku skrg 67 kg setelah pny anak smoga nanti bisa nyampai 50 kg kyk sblm menikah xixi
Positif;Sma aknjga skg 67 bulan2 minggu2 kmaren turun 2 kg tp skg udah naik lgi
Positif;Semangat diet
Negatif;Wah aku coba diet udah mungkin udah 15 tahun mungkin gagal trus turun tapi kembali lgi
Negatif;MAKAN KADANG 2X GAK SUKA NGEMIL KOK NAIK TERUS YA
Positif;terima kasih atas motivasinya mbak
Negatif;Aku bisa kurus gak sih 
