id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,;;
"1,""SKWAD Fitness"",""Beli perlengkapan untuk #OlahragaDiRumah Exclusive by SKWAD Fitness di ecommerce favoritemu! SKWAD Official Market: https://www.skwadmarket.com Shopee: https://www.shopee.co.id/skwadmarket Tokopedia: https://www.tokopedia.com/skwadmarket"",""UgwGpBeJRPeN_E4bVaB4AaABAg"","""",119,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwGpBeJRPeN_E4bVaB4AaABAg"",""2020-11-26 07:15:35"",15,""Beli perlengkapan untuk #OlahragaDiRumah Exclusive by SKWAD Fitness di ecommerce favoritemu! SKWAD Official Market: https://www.skwadmarket.com Shopee: https://www.shopee.co.id/skwadmarket Tokopedia: https://www.tokopedia.com/skwadmarket"",""http://www.youtube.com/channel/UCwjRtYeHwmzKBPoIMax7StQ"",";;
"2,""mayni155"",""Min aku gk begitu gemuk di bagian pinggul ke atas, Tapi pinggul ke bawah itu besar banget, kaya bagian paha dan bokong itu besar banget gitu heran juga sih tapi gimana ya ini kaya nya keturunan deh doal nya mama ku juga hitu 😢 Ada rekomendasi diet gk ya, Karna klw aku diet kaya wajah dan bagian ats ku tu makin kecil tapi bokong dan oaha ku tetap aja segitu 😢"",""UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9pxPOQjBvH0"",""SKWAD Fitness"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9pxPOQjBvH0"",""2023-05-20 19:06:40"",0,""Min aku gk begitu gemuk di bagian pinggul ke atas, Tapi pinggul ke bawah itu besar banget, kaya bagian paha dan bokong itu besar banget gitu heran juga sih tapi gimana ya ini kaya nya keturunan deh doal nya mama ku juga hitu 😢 Ada rekomendasi diet gk ya, Karna klw aku diet kaya wajah dan bagian ats ku tu makin kecil tapi bokong dan oaha ku tetap aja segitu 😢"",""http://www.youtube.com/channel/UCDUx85EpxsDtmlbxpy5zsww"",";;
"3,""Dona Meina"",""@Suhaida MandaiKhufujju🐐"",""UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9nnLwC2aA4V"",""SKWAD Fitness"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9nnLwC2aA4V"",""2023-03-28 04:21:16"",0,""@Suhaida MandaiKhufujju🐐"",""http://www.youtube.com/channel/UCee5WVF1tYjIeCbCFgatiQw"",";;
"4,""Dian Sari"",""@Medica Id olahraga kak."",""UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9lYVn7tIkDG"",""SKWAD Fitness"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9lYVn7tIkDG"",""2023-01-31 06:36:46"",0,""@Medica Id olahraga kak."",""http://www.youtube.com/channel/UCGUBNdhE7madDXTPJZZSlRg"",";;
"5,""Kn P"",""@Medica Id qq"",""UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9iXOUThuMF8"",""SKWAD Fitness"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9iXOUThuMF8"",""2022-11-17 06:39:30"",0,""@Medica Id qq"",""http://www.youtube.com/channel/UCtPdg7GTLkiceVKELdHoTZg"",";;
"6,""Ade Fatih"",""E"",""UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9hUbJO9pjWl"",""SKWAD Fitness"",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwGpBeJRPeN_E4bVaB4AaABAg.9GWwTrHuENP9hUbJO9pjWl"",""2022-10-22 09:11:12"",0,""E"",""http://www.youtube.com/channel/UC6DNGeL3mITZcHkksj44DvQ"",";;
"7,""riwabidel"",""Dl pnh los 12 kg, ehhhh disaat itulah q menyerah dan kembali ke semula hiks"",""UgwsRNhO5oQHmlLJ7_N4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwsRNhO5oQHmlLJ7_N4AaABAg"",""2023-10-16 05:55:30"",0,""Dl pnh los 12 kg, ehhhh disaat itulah q menyerah dan kembali ke semula hiks"",""http://www.youtube.com/channel/UC20HTHpDfi22gsUNSPWAH-g"",";;
"8,""Novi ayu herlianti Ayu"",""Apakah memakai obat diet juga di sela kegiatan olahraga"",""UgwBibjk8ywKPIm3EoN4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwBibjk8ywKPIm3EoN4AaABAg"",""2023-10-04 22:49:38"",0,""Apakah memakai obat diet juga di sela kegiatan olahraga"",""http://www.youtube.com/channel/UCLrgxvN3j-leeIRH2mqhx6w"",";;
"9,""Hanifa Mailahana"",""Mau nanya dongg... Aku ini umur nya 14 tahun, bb nya sekitar 60 an tp tinggi aku cuma 155 cm, mau diet tp namanya masih anak dlm masa pertumbuhan, agak lalai juga dlm makan2. Boleh tolong kasih cara gak kak, supaya ga terlalu ngurangin makan tp bisa turun bb selama 1 bulan Soalnya rencana akhir Oktober udah turun. Kayak kasih olahraga apa yg hrs aku lakuin, tp klo bisa jgn yg pake alat ya kak, soalnya aku gaada alat olahraga di rumah😅"",""UgwSvo6715ONXHpHzlF4AaABAg"","""",0,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwSvo6715ONXHpHzlF4AaABAg"",""2023-09-30 19:44:30"",0,""Mau nanya dongg... Aku ini umur nya 14 tahun, bb nya sekitar 60 an tp tinggi aku cuma 155 cm, mau diet tp namanya masih anak dlm masa pertumbuhan, agak lalai juga dlm makan2. Boleh tolong kasih cara gak kak, supaya ga terlalu ngurangin makan tp bisa turun bb selama 1 bulan Soalnya rencana akhir Oktober udah turun. Kayak kasih olahraga apa yg hrs aku lakuin, tp klo bisa jgn yg pake alat ya kak, soalnya aku gaada alat olahraga di rumah😅"",""http://www.youtube.com/channel/UCIykqs3upkNH_4bzjPS9M8Q"",";;
"10,""Ernatha Budiana"",""Bener bgt kata mbak ini.. Keberhasilan Diet itu tergantung cara pandang dan pola pikir kita untuk Mencintai Diri kita Sendiri👍☺️ Saat kita Sadar..berapa pentingnya diri kita,bahwa kita harus Sehat,maka dgn sendirinya..kita bs mengatur diri kita sendiri untuk menahan segala hal yg merusak kesehatan kita.dan akhirnya kita dapat Bonus,yaitu Berat badan kita yg turun dan kita semakin PD😄 Saya jg sudah 4 bln ini mengikuti diet deposit kalori,dgn cara mengurangi konsumsi Karbo.. Dan..dlm waktu kurang lebih 4 bln..berat badan saya Turun dr 72kg ke 65 kg. Tanpa olahraga yg ngoyo..bisa dibilang saya ga olahraga berat.Saya hanya melakukan Yoga.mengatur pola pikir saya dan menghindari stres.. Semangat Terus buat kita yg sedang Berjuang..💪💪💪 😅😅😅"",""UgwELIhktWIOOAkOllt4AaABAg"","""",1,""https://www.youtube.com/watch?v=pDcFSHH-4yU&lc=UgwELIhktWIOOAkOllt4AaABAg"",""2023-09-24 09:16:40"",0,""Bener bgt kata mbak ini.. Keberhasilan Diet itu tergantung cara pandang dan pola pikir kita untuk Mencintai Diri kita Sendiri👍☺️ Saat kita Sadar..berapa pentingnya diri kita,bahwa kita harus Sehat,maka dgn sendirinya..kita bs mengatur diri kita sendiri untuk menahan segala hal yg merusak kesehatan kita.dan akhirnya kita dapat Bonus,yaitu Berat badan kita yg turun dan kita semakin PD😄 Saya jg sudah 4 bln ini mengikuti diet deposit kalori,dgn cara mengurangi konsumsi Karbo.. Dan..dlm waktu kurang lebih 4 bln..berat badan saya Turun dr 72kg ke 65 kg. Tanpa olahraga yg ngoyo..bisa dibilang saya ga olahraga berat.Saya hanya melakukan Yoga.mengatur pola pikir saya dan menghindari stres.. Semangat Terus buat kita yg sedang Berjuang..💪💪💪 😅😅😅"",""http://www.youtube.com/channel/UC3X2k9Is4HYxOKX3iC0SP6g"",";;
